id,name,address,city,state,area,postal_code,country,phone,lat,lng,price,reserve_url,mobile_reserve_url,image_url
4162,Orsay,1057-59 Lexington Avenue,New York,NY,New York / Tri-State Area,10021,US,2125176400x0,40.772397,-73.960762,3,http://www.opentable.com/single.aspx?rid=4162,http://mobile.opentable.com/opentable/?restId=4162,https://www.opentable.com/img/restimages/4162.jpg
24202,Hill Country - Flatiron,30 West 26th Street,New York,NY,New York / Tri-State Area,10010,US,2122554544x10,40.744163,-73.990471,2,http://www.opentable.com/single.aspx?rid=24202,http://mobile.opentable.com/opentable/?restId=24202,https://www.opentable.com/img/restimages/24202.jpg
97870,Bacchanal,146 Bowery,New York,NY,New York / Tri-State Area,10013,US,646-355-1840x,40.719441,-73.994966,2,http://www.opentable.com/single.aspx?rid=97870,http://mobile.opentable.com/opentable/?restId=97870,https://www.opentable.com/img/restimages/97870.jpg
139675,SKÁL,37 Canal St.,New York,NY,New York / Tri-State Area,10002,US,2127777518,40.71476,-73.990943,3,http://www.opentable.com/single.aspx?rid=139675,http://mobile.opentable.com/opentable/?restId=139675,https://www.opentable.com/img/restimages/139675.jpg
5656,MINT,150 E. 50th Street,New York,NY,New York / Tri-State Area,10022,US,2126448888,40.756,-73.972,3,http://www.opentable.com/single.aspx?rid=5656,http://mobile.opentable.com/opentable/?restId=5656,https://www.opentable.com/img/restimages/5656.jpg
118534,Ariana,138-140 W Houston St,New York,NY,New York / Tri-State Area,10012,US,6466784334x,40.727871,-74.001626,3,http://www.opentable.com/single.aspx?rid=118534,http://mobile.opentable.com/opentable/?restId=118534,https://www.opentable.com/img/restimages/118534.jpg
108091,Hudson Place Restaurant & Bar,538 3rd Ave,New York,NY,New York / Tri-State Area,10016,US,2126866660x,40.747048,-73.97755,2,http://www.opentable.com/single.aspx?rid=108091,http://mobile.opentable.com/opentable/?restId=108091,https://www.opentable.com/img/restimages/108091.jpg
152554,Perla,24 Minetta Lane,New York,NY,New York / Tri-State Area,10012,US,2129331824,40.730469,-74.001262,3,http://www.opentable.com/single.aspx?rid=152554,http://mobile.opentable.com/opentable/?restId=152554,https://www.opentable.com/img/restimages/152554.jpg
112417,Lazzara's Pizza Cafe,221 West 38th Street,New York,NY,New York / Tri-State Area,10018,US,2129447792,40.753932,-73.989547,2,http://www.opentable.com/single.aspx?rid=112417,http://mobile.opentable.com/opentable/?restId=112417,https://www.opentable.com/img/restimages/112417.jpg
108433,CAMAJE Bistro,85 MacDougal St,New York,NY,New York / Tri-State Area,10012,US,2126738184,40.728884,-74.001561,2,http://www.opentable.com/single.aspx?rid=108433,http://mobile.opentable.com/opentable/?restId=108433,https://www.opentable.com/img/restimages/108433.jpg
104296,Barn Joo,893 Broadway,New York,NY,New York / Tri-State Area,10003,US,6463989663x,40.738912,-73.990223,3,http://www.opentable.com/single.aspx?rid=104296,http://mobile.opentable.com/opentable/?restId=104296,https://www.opentable.com/img/restimages/104296.jpg
63580,Mulberry Project,149 Mulberry St.,New York,NY,New York / Tri-State Area,10013,US,6464484536,40.719077,-73.997689,3,http://www.opentable.com/single.aspx?rid=63580,http://mobile.opentable.com/opentable/?restId=63580,https://www.opentable.com/img/restimages/63580.jpg
111841,The Writing Room,1703 2nd Avenue,New York,NY,New York / Tri-State Area,10128,US,2123350075x,40.779544,-73.950638,2,http://www.opentable.com/single.aspx?rid=111841,http://mobile.opentable.com/opentable/?restId=111841,https://www.opentable.com/img/restimages/111841.jpg
52969,Ai Fiori,400 5th Avenue,New York,NY,New York / Tri-State Area,10018,US,2126138660x,40.750228,-73.983714,3,http://www.opentable.com/single.aspx?rid=52969,http://mobile.opentable.com/opentable/?restId=52969,https://www.opentable.com/img/restimages/52969.jpg
38164,Spina,175 Avenue B,New York,NY,New York / Tri-State Area,10009,US,2122532250,40.727479,-73.979187,3,http://www.opentable.com/single.aspx?rid=38164,http://mobile.opentable.com/opentable/?restId=38164,https://www.opentable.com/img/restimages/38164.jpg
